"time","value"
"00:00:01","61"
"00:00:06","63"
"00:00:16","62"
"00:00:26","63"
"00:00:41","63"
"00:00:46","65"
"00:00:51","64"
"00:00:56","62"
"00:01:01","60"
"00:01:06","61"
"00:01:16","60"
"00:01:22","63"
"00:01:27","64"
"00:01:32","60"
"00:01:37","59"
"00:01:42","58"
"00:01:52","59"
"00:01:57","61"
"00:02:02","60"
"00:02:12","61"
"00:02:17","62"
"00:02:27","59"
"00:02:32","60"
"00:02:42","59"
"00:02:52","60"
"00:02:57","59"
"00:03:02","58"
"00:03:07","59"
"00:03:12","62"
"00:03:17","69"
"00:03:22","74"
"00:03:27","77"
"00:03:32","78"
"00:03:42","79"
"00:03:47","81"
"00:03:52","82"
"00:03:57","79"
"00:04:02","77"
"00:04:08","77"
"00:04:23","77"
"00:04:28","78"
"00:04:33","83"
"00:04:38","81"
"00:04:43","72"
"00:04:48","69"
"00:04:53","69"
"00:04:58","65"
"00:05:03","62"
"00:05:13","63"
"00:05:18","62"
"00:05:23","63"
"00:05:28","62"
"00:05:33","60"
"00:05:38","59"
"00:05:43","58"
"00:05:48","57"
"00:05:58","58"
"00:06:13","57"
"00:06:23","59"
"00:06:28","64"
"00:06:33","70"
"00:06:43","66"
"00:06:48","62"
"00:06:53","60"
"00:06:58","60"
"00:07:08","59"
"00:07:18","57"
"00:07:23","56"
"00:07:33","58"
"00:07:38","57"
"00:07:48","58"
"00:07:53","57"
"00:08:08","58"
"00:08:18","57"
"00:08:23","56"
"00:08:28","57"
"00:08:33","59"
"00:08:38","61"
"00:08:43","66"
"00:08:48","63"
"00:08:53","59"
"00:08:58","57"
"00:09:03","56"
"00:09:13","57"
"00:09:23","55"
"00:09:33","56"
"00:09:38","57"
"00:09:43","56"
"00:09:53","57"
"00:09:58","56"
"00:10:03","56"
"00:10:09","56"
"00:10:14","56"
"00:10:29","56"
"00:10:39","57"
"00:10:44","58"
"00:10:54","57"
"00:11:09","56"
"00:11:14","55"
"00:11:24","57"
"00:11:39","57"
"00:11:54","57"
"00:12:09","57"
"00:12:19","56"
"00:12:24","57"
"00:12:29","58"
"00:12:34","57"
"00:12:44","59"
"00:12:49","58"
"00:12:54","57"
"00:13:09","56"
"00:13:14","57"
"00:13:24","56"
"00:13:29","57"
"00:13:34","58"
"00:13:49","58"
"00:14:04","59"
"00:14:14","58"
"00:14:19","58"
"00:14:34","58"
"00:14:44","59"
"00:14:49","60"
"00:14:59","59"
"00:15:04","57"
"00:15:19","57"
"00:15:34","58"
"00:15:44","57"
"00:15:49","56"
"00:15:59","57"
"00:16:04","58"
"00:16:09","59"
"00:16:14","58"
"00:16:19","57"
"00:16:34","58"
"00:16:44","59"
"00:16:54","58"
"00:17:09","59"
"00:17:24","58"
"00:17:29","57"
"00:17:44","59"
"00:17:49","58"
"00:18:04","58"
"00:18:19","58"
"00:18:34","58"
"00:18:44","59"
"00:18:49","59"
"00:19:04","58"
"00:19:19","59"
"00:19:34","59"
"00:19:44","60"
"00:19:59","60"
"00:20:09","59"
"00:20:24","59"
"00:20:39","59"
"00:20:49","60"
"00:20:59","59"
"00:21:14","59"
"00:21:29","59"
"00:21:34","60"
"00:21:39","59"
"00:21:54","59"
"00:22:09","59"
"00:22:19","60"
"00:22:24","59"
"00:22:29","60"
"00:22:34","59"
"00:22:39","58"
"00:22:54","58"
"00:23:09","59"
"00:23:14","59"
"00:23:20","58"
"00:23:35","58"
"00:23:50","57"
"00:23:55","58"
"00:24:00","59"
"00:24:05","58"
"00:24:10","57"
"00:24:20","58"
"00:24:25","59"
"00:24:30","60"
"00:24:45","60"
"00:24:50","73"
"00:24:55","99"
"00:25:00","100"
"00:25:05","98"
"00:25:10","96"
"00:25:15","94"
"00:25:20","91"
"00:25:25","75"
"00:25:30","60"
"00:25:35","58"
"00:25:40","56"
"00:25:50","57"
"00:25:55","55"
"00:26:10","55"
"00:26:25","55"
"00:26:30","56"
"00:26:45","57"
"00:26:50","56"
"00:26:55","57"
"00:27:10","56"
"00:27:15","55"
"00:27:25","54"
"00:27:35","55"
"00:27:50","55"
"00:28:05","56"
"00:28:10","55"
"00:28:15","54"
"00:28:25","55"
"00:28:40","55"
"00:28:55","56"
"00:29:10","56"
"00:29:25","56"
"00:29:35","57"
"00:29:50","57"
"00:30:05","58"
"00:30:10","57"
"00:30:15","56"
"00:30:20","56"
"00:30:35","56"
"00:30:40","57"
"00:30:55","57"
"00:31:10","58"
"00:31:25","58"
"00:31:40","57"
"00:31:55","57"
"00:32:10","57"
"00:32:15","58"
"00:32:30","58"
"00:32:45","58"
"00:33:00","58"
"00:33:15","58"
"00:33:30","58"
"00:33:45","58"
"00:34:00","58"
"00:34:15","58"
"00:34:20","59"
"00:34:25","59"
"00:34:40","58"
"00:34:55","59"
"00:35:10","59"
"00:35:20","58"
"00:35:25","59"
"00:35:40","59"
"00:35:45","57"
"00:35:50","54"
"00:36:00","55"
"00:36:15","55"
"00:36:30","55"
"00:36:35","54"
"00:36:40","55"
"00:36:45","56"
"00:37:00","56"
"00:37:10","57"
"00:37:15","59"
"00:37:25","57"
"00:37:40","57"
"00:37:55","57"
"00:38:10","57"
"00:38:15","58"
"00:38:20","57"
"00:38:35","57"
"00:38:40","57"
"00:38:55","57"
"00:39:00","57"
"00:39:05","59"
"00:39:15","58"
"00:39:30","58"
"00:39:40","56"
"00:39:46","56"
"00:39:51","58"
"00:40:01","57"
"00:40:16","58"
"00:40:21","57"
"00:40:36","57"
"00:40:51","57"
"00:41:01","58"
"00:41:11","57"
"00:41:26","58"
"00:41:41","57"
"00:41:46","56"
"00:41:56","57"
"00:42:01","58"
"00:42:06","57"
"00:42:21","59"
"00:42:26","58"
"00:42:31","57"
"00:42:36","58"
"00:42:41","57"
"00:42:46","56"
"00:42:51","58"
"00:42:56","61"
"00:43:01","60"
"00:43:06","61"
"00:43:11","59"
"00:43:16","58"
"00:43:21","57"
"00:43:36","57"
"00:43:46","59"
"00:44:01","59"
"00:44:06","58"
"00:44:11","57"
"00:44:26","57"
"00:44:31","59"
"00:44:36","61"
"00:44:41","60"
"00:44:46","61"
"00:44:51","61"
"00:44:56","58"
"00:45:01","57"
"00:45:11","56"
"00:45:16","58"
"00:45:21","62"
"00:45:26","60"
"00:45:41","61"
"00:45:56","61"
"00:46:06","62"
"00:46:16","61"
"00:46:31","61"
"00:46:36","60"
"00:46:41","61"
"00:46:46","60"
"00:47:01","60"
"00:47:06","60"
"00:47:11","59"
"00:47:16","57"
"00:47:21","58"
"00:47:26","57"
"00:47:31","55"
"00:47:36","54"
"00:47:51","58"
"00:47:56","61"
"00:48:01","64"
"00:48:06","66"
"00:48:11","69"
"00:48:16","68"
"00:48:21","64"
"00:48:26","61"
"00:48:41","62"
"00:48:46","63"
"00:48:51","64"
"00:48:56","66"
"00:49:06","65"
"00:49:21","66"
"00:49:26","69"
"00:49:31","71"
"00:49:41","70"
"00:49:46","69"
"00:49:51","69"
"00:49:56","70"
"00:50:01","70"
"00:50:06","66"
"00:50:11","62"
"00:50:16","60"
"00:50:26","59"
"00:50:31","58"
"00:50:41","60"
"00:50:56","60"
"00:51:01","62"
"00:51:06","64"
"00:51:11","67"
"00:51:16","66"
"00:51:21","63"
"00:51:26","61"
"00:51:36","57"
"00:51:41","58"
"00:51:46","59"
"00:52:01","60"
"00:52:06","61"
"00:52:11","60"
"00:52:21","62"
"00:52:26","63"
"00:52:36","61"
"00:52:41","60"
"00:52:51","59"
"00:52:56","60"
"00:53:01","63"
"00:53:06","65"
"00:53:11","62"
"00:53:16","60"
"00:53:21","59"
"00:53:26","58"
"00:53:31","60"
"00:53:36","63"
"00:53:46","61"
"00:53:51","60"
"00:54:06","60"
"00:54:11","66"
"00:54:16","68"
"00:54:26","64"
"00:54:31","62"
"00:54:41","64"
"00:54:46","65"
"00:54:51","66"
"00:54:56","69"
"00:55:01","65"
"00:55:06","64"
"00:55:11","62"
"00:55:16","60"
"00:55:21","58"
"00:55:26","57"
"00:55:41","57"
"00:55:47","59"
"00:56:02","60"
"00:56:07","63"
"00:56:12","64"
"00:56:27","63"
"00:56:32","62"
"00:56:37","61"
"00:56:42","60"
"00:56:57","61"
"00:57:02","62"
"00:57:17","62"
"00:57:22","61"
"00:57:32","62"
"00:57:47","62"
"00:57:52","62"
"00:58:07","62"
"00:58:22","62"
"00:58:32","63"
"00:58:42","59"
"00:58:47","58"
"00:58:52","56"
"00:58:57","55"
"00:59:02","58"
"00:59:07","60"
"00:59:12","59"
"00:59:22","60"
"00:59:28","61"
"00:59:33","60"
"00:59:38","59"
"00:59:48","60"
"00:59:53","59"
"00:59:58","58"
"01:00:08","60"
"01:00:13","61"
"01:00:18","62"
"01:00:33","63"
"01:00:48","62"
"01:00:53","61"
"01:00:58","60"
"01:01:03","57"
"01:01:08","56"
"01:01:18","55"
"01:01:33","56"
"01:01:38","55"
"01:01:43","54"
"01:01:58","54"
"01:02:13","54"
"01:02:18","55"
"01:02:23","56"
"01:02:28","58"
"01:02:33","59"
"01:02:38","58"
"01:02:48","56"
"01:02:53","54"
"01:02:58","57"
"01:03:13","57"
"01:03:23","56"
"01:03:38","55"
"01:03:48","57"
"01:03:53","56"
"01:03:58","54"
"01:04:03","55"
"01:04:08","56"
"01:04:13","57"
"01:04:18","58"
"01:04:23","57"
"01:04:33","58"
"01:04:38","59"
"01:04:53","58"
"01:04:58","58"
"01:05:03","57"
"01:05:08","58"
"01:05:13","59"
"01:05:18","58"
"01:05:28","57"
"01:05:38","58"
"01:05:43","59"
"01:05:58","59"
"01:06:03","60"
"01:06:08","59"
"01:06:13","58"
"01:06:18","57"
"01:06:23","58"
"01:06:28","58"
"01:06:33","57"
"01:06:48","58"
"01:07:03","57"
"01:07:08","58"
"01:07:13","57"
"01:07:18","56"
"01:07:23","57"
"01:07:38","58"
"01:07:53","58"
"01:08:08","57"
"01:08:18","56"
"01:08:23","55"
"01:08:33","56"
"01:08:38","55"
"01:08:43","56"
"01:08:48","57"
"01:08:58","58"
"01:09:13","60"
"01:09:18","87"
"01:09:23","89"
"01:09:28","85"
"01:09:33","83"
"01:09:38","78"
"01:09:43","62"
"01:09:48","57"
"01:09:53","56"
"01:09:58","55"
"01:10:03","54"
"01:10:13","56"
"01:10:18","55"
"01:10:23","54"
"01:10:33","55"
"01:10:38","56"
"01:10:53","57"
"01:10:58","55"
"01:11:03","54"
"01:11:18","54"
"01:11:23","57"
"01:11:28","56"
"01:11:43","56"
"01:11:48","55"
"01:12:03","55"
"01:12:13","53"
"01:12:18","53"
"01:12:24","54"
"01:12:29","63"
"01:12:34","67"
"01:12:39","62"
"01:12:44","58"
"01:12:49","54"
"01:12:54","53"
"01:13:04","52"
"01:13:14","53"
"01:13:19","54"
"01:13:29","55"
"01:13:44","54"
"01:13:49","53"
"01:13:59","54"
"01:14:04","55"
"01:14:14","55"
"01:14:24","58"
"01:14:29","80"
"01:14:34","80"
"01:14:39","69"
"01:14:44","66"
"01:14:49","62"
"01:14:54","59"
"01:14:59","57"
"01:15:04","54"
"01:15:09","52"
"01:15:19","51"
"01:15:29","52"
"01:15:39","51"
"01:15:49","52"
"01:15:54","53"
"01:15:59","56"
"01:16:04","62"
"01:16:09","64"
"01:16:14","62"
"01:16:19","57"
"01:16:24","52"
"01:16:34","51"
"01:16:39","50"
"01:16:44","50"
"01:16:59","50"
"01:17:14","50"
"01:17:19","50"
"01:17:34","50"
"01:17:39","54"
"01:17:44","56"
"01:17:49","55"
"01:18:04","54"
"01:18:19","53"
"01:18:24","54"
"01:18:29","55"
"01:18:44","55"
"01:18:49","56"
"01:18:54","55"
"01:18:59","54"
"01:19:09","55"
"01:19:14","54"
"01:19:29","55"
"01:19:34","57"
"01:19:39","58"
"01:19:44","57"
"01:19:49","55"
"01:20:04","55"
"01:20:19","55"
"01:20:24","56"
"01:20:34","57"
"01:20:39","55"
"01:20:54","56"
"01:21:09","55"
"01:21:19","54"
"01:21:29","55"
"01:21:34","57"
"01:21:44","56"
"01:21:49","57"
"01:21:54","56"
"01:22:04","55"
"01:22:09","55"
"01:22:19","57"
"01:22:29","56"
"01:22:39","57"
"01:22:44","59"
"01:22:49","57"
"01:22:54","56"
"01:23:04","55"
"01:23:19","55"
"01:23:24","56"
"01:23:29","56"
"01:23:34","57"
"01:23:49","58"
"01:23:54","67"
"01:24:04","65"
"01:24:09","63"
"01:24:14","60"
"01:24:19","58"
"01:24:24","56"
"01:24:29","54"
"01:24:34","52"
"01:24:39","51"
"01:24:54","52"
"01:25:09","52"
"01:25:14","53"
"01:25:29","53"
"01:25:34","53"
"01:25:39","54"
"01:25:54","54"
"01:26:04","53"
"01:26:09","54"
"01:26:24","54"
"01:26:39","54"
"01:26:54","56"
"01:27:04","57"
"01:27:14","56"
"01:27:19","55"
"01:27:24","54"
"01:27:39","55"
"01:27:54","55"
"01:27:59","56"
"01:28:04","57"
"01:28:14","56"
"01:28:19","55"
"01:28:34","55"
"01:28:49","55"
"01:29:04","55"
"01:29:14","55"
"01:29:24","56"
"01:29:29","58"
"01:29:34","57"
"01:29:39","55"
"01:29:45","55"
"01:29:50","56"
"01:30:00","55"
"01:30:10","56"
"01:30:15","57"
"01:30:20","56"
"01:30:35","56"
"01:30:50","56"
"01:31:00","55"
"01:31:10","57"
"01:31:15","73"
"01:31:20","77"
"01:31:25","76"
"01:31:30","70"
"01:31:35","69"
"01:31:40","65"
"01:31:45","64"
"01:32:00","64"
"01:32:10","66"
"01:32:15","66"
"01:32:25","67"
"01:32:30","63"
"01:32:35","61"
"01:32:40","61"
"01:32:45","60"
"01:32:50","58"
"01:32:55","57"
"01:33:00","57"
"01:33:05","56"
"01:33:15","55"
"01:33:20","54"
"01:33:25","54"
"01:33:30","55"
"01:33:40","54"
"01:33:55","53"
"01:34:00","54"
"01:34:05","55"
"01:34:10","56"
"01:34:15","55"
"01:34:30","57"
"01:34:40","56"
"01:34:50","56"
"01:34:55","56"
"01:35:10","56"
"01:35:20","60"
"01:35:25","62"
"01:35:30","60"
"01:35:35","57"
"01:35:40","55"
"01:35:45","51"
"01:35:50","50"
"01:36:00","52"
"01:36:05","52"
"01:36:15","53"
"01:36:20","55"
"01:36:25","54"
"01:36:40","53"
"01:36:55","52"
"01:37:10","52"
"01:37:15","53"
"01:37:20","54"
"01:37:30","53"
"01:37:35","54"
"01:37:45","53"
"01:37:55","54"
"01:38:05","53"
"01:38:15","52"
"01:38:30","51"
"01:38:40","52"
"01:38:45","53"
"01:38:50","54"
"01:39:05","54"
"01:39:20","53"
"01:39:30","54"
"01:39:40","55"
"01:39:50","54"
"01:40:00","53"
"01:40:10","54"
"01:40:25","54"
"01:40:30","55"
"01:40:35","54"
"01:40:50","55"
"01:41:05","55"
"01:41:20","54"
"01:41:35","55"
"01:41:50","56"
"01:42:00","55"
"01:42:05","54"
"01:42:20","55"
"01:42:25","54"
"01:42:40","54"
"01:42:45","55"
"01:43:00","54"
"01:43:05","55"
"01:43:10","54"
"01:43:25","55"
"01:43:30","56"
"01:43:45","56"
"01:43:50","55"
"01:43:55","54"
"01:44:05","55"
"01:44:20","55"
"01:44:25","54"
"01:44:30","55"
"01:44:45","55"
"01:44:55","54"
"01:45:00","54"
"01:45:10","56"
"01:45:15","55"
"01:45:25","56"
"01:45:40","56"
"01:45:50","55"
"01:46:05","55"
"01:46:20","55"
"01:46:25","54"
"01:46:40","54"
"01:46:45","56"
"01:46:50","55"
"01:47:05","55"
"01:47:10","56"
"01:47:25","56"
"01:47:35","56"
"01:47:40","55"
"01:47:55","55"
"01:48:00","56"
"01:48:15","56"
"01:48:30","55"
"01:48:45","55"
"01:49:00","55"
"01:49:10","56"
"01:49:16","56"
"01:49:21","55"
"01:49:36","56"
"01:49:51","55"
"01:50:01","57"
"01:50:06","61"
"01:50:11","65"
"01:50:21","63"
"01:50:26","61"
"01:50:31","60"
"01:50:36","59"
"01:50:46","63"
"01:50:51","79"
"01:50:56","81"
"01:51:01","69"
"01:51:06","64"
"01:51:11","62"
"01:51:16","60"
"01:51:21","58"
"01:51:26","55"
"01:51:31","52"
"01:51:36","52"
"01:51:41","54"
"01:51:46","56"
"01:51:51","62"
"01:52:06","62"
"01:52:11","62"
"01:52:21","59"
"01:52:26","56"
"01:52:31","53"
"01:52:36","52"
"01:52:51","54"
"01:52:56","67"
"01:53:01","65"
"01:53:06","60"
"01:53:11","55"
"01:53:16","53"
"01:53:21","52"
"01:53:26","51"
"01:53:31","50"
"01:53:46","49"
"01:53:51","50"
"01:54:01","51"
"01:54:16","52"
"01:54:31","52"
"01:54:36","51"
"01:54:46","53"
"01:54:56","52"
"01:55:11","52"
"01:55:26","52"
"01:55:31","53"
"01:55:46","52"
"01:56:01","53"
"01:56:11","52"
"01:56:26","52"
"01:56:31","53"
"01:56:36","54"
"01:56:51","53"
"01:57:01","54"
"01:57:11","54"
"01:57:26","54"
"01:57:31","68"
"01:57:36","87"
"01:57:41","81"
"01:57:46","72"
"01:57:51","63"
"01:57:56","62"
"01:58:01","61"
"01:58:11","63"
"01:58:16","67"
"01:58:21","70"
"01:58:36","70"
"01:58:37","71"
"01:58:42","79"
"01:58:47","74"
"01:58:52","72"
"01:58:57","70"
"01:59:02","67"
"01:59:12","69"
"01:59:17","68"
"01:59:22","65"
"01:59:27","64"
"01:59:32","62"
"01:59:37","59"
"01:59:42","57"
"01:59:47","57"
"01:59:52","59"
"01:59:57","61"
"02:00:02","66"
"02:00:07","64"
"02:00:12","63"
"02:00:17","62"
"02:00:22","61"
"02:00:27","64"
"02:00:32","63"
"02:00:37","58"
"02:00:42","54"
"02:00:47","57"
"02:00:52","62"
"02:00:57","60"
"02:01:02","56"
"02:01:07","58"
"02:01:12","59"
"02:01:17","56"
"02:01:22","55"
"02:01:27","54"
"02:01:32","52"
"02:01:37","51"
"02:01:42","52"
"02:01:47","54"
"02:01:52","53"
"02:01:57","51"
"02:02:07","50"
"02:02:17","51"
"02:02:27","52"
"02:02:32","53"
